LOD-Artikel;Grondformen;Wuertaart
A1;A;Substantiv, Neutrum
AARBECHT1;Aarbecht;Substantiv, Femininum
AARBECHTER1;Aarbechter;Substantiv, Maskulinum
AARBECHTERIN1;Aarbechterin;Substantiv, Femininum
AARBECHTSKOLLEEG1;Aarbechtskolleeg;Substantiv, Maskulinum
AARBECHTSKOLLEEGIN1;Aarbechtskolleegin;Substantiv, Femininum
ABRELL1;Abrëll;Substantiv, Maskulinum
ADDI2;äddi;Interjektioun
ADMINISTRATIV1;administrativ;Adjektiv
ADRESS1;Adress;Substantiv, Femininum
AERDBIER1;Äerdbier;Substantiv, Femininum/Neutrum
AERDBIER2;Äerdbier;Substantiv, Neutrum
AEROBIC1;Aerobic;Substantiv, Maskulinum
AFFEKOT1;Affekot;Substantiv, Maskulinum
AFFEKOTIN1;Affekotin;Substantiv, Femininum
AKAFEN1;akafen;Verb
AKAFSLESCHT1;Akafslëscht;Substantiv, Femininum
AL1;al;Adjektiv
ALL2;all;Indefinitpronomen
ALLEN1;allen;Indefinitpronomen
ALLES1;alles;Indefinitpronomen
ALS1;als;Konjunktioun
ALSO1;also;Adverb
ALT2;alt;Partikel
ALTERSHEEM1;Altersheem;Substantiv, Neutrum
AM1;am;
AMESEIEREN1;ameséieren;Verb
AN2;an;Konjunktioun
AN3;an;Prepositioun
ANANAS1;Ananas;Substantiv, Maskulinum/Femininum
ANER1;aner;Indefinitpronomen
ANEREN1;aneren;Indefinitpronomen
ANIMATIOUN1;Animatioun;Substantiv, Femininum
ANNERHALLEF1;annerhallef;Adjektiv
APDIKT1;Apdikt;Substantiv, Femininum
APDIKTER1;Apdikter;Substantiv, Maskulinum
APDIKTESCH1;Apdiktesch;Substantiv, Femininum
APEL1;Apel;Substantiv, Maskulinum
APPELTASCH1;Äppeltäsch;Substantiv, Femininum
APRIKOS1;Aprikos;Substantiv, Femininum
ARCHITEKT1;Architekt;Substantiv, Maskulinum
ARCHITEKTIN1;Architektin;Substantiv, Femininum
ATTRAKTIOUN1;Attraktioun;Substantiv, Femininum
AUBERGINE2;Aubergine;Substantiv, Femininum
AUER1;Auer;Substantiv, Femininum
AUGUST1;August;Substantiv, Maskulinum
AUS2;aus;Prepositioun
AUSFLUCH1;Ausfluch;Substantiv, Maskulinum
AUSLAND1;Ausland;Substantiv, Neutrum
AUSSER1;ausser;Konjunktioun
AUSSER2;ausser;Prepositioun
AUTO1;Auto;Substantiv, Maskulinum
AWAR1;Awar;Substantiv, Maskulinum
AWER1;awer;Adverb
AWER2;awer;Konjunktioun
AWER3;awer;Partikel
AWUER1;Awuer;Substantiv, Maskulinum
AWUNNER1;Awunner;Substantiv, Maskulinum
AWUNNERIN1;Awunnerin;Substantiv, Femininum
BAART1;Baart;Substantiv, Maskulinum
BABYSITTER1;Babysitter;Substantiv, Maskulinum
BABYSITTERIN1;Babysitterin;Substantiv, Femininum
BACKER1;Bäcker;Substantiv, Maskulinum
BACKEREI1;Bäckerei;Substantiv, Femininum
BACKESCH1;Bäckesch;Substantiv, Femininum
BAGUETTE1;Baguette;Substantiv, Femininum
BAKEN1;baken;Verb
BANANN1;Banann;Substantiv, Femininum
BAND4;Band;Substantiv, Femininum
BANK1;Bank;Substantiv, Femininum
BASILIKA1;Basilika;Substantiv, Femininum
BASKET1;Basket;Substantiv, Maskulinum
BASTELEN1;bastelen;Verb
BAUCH1;Bauch;Substantiv, Maskulinum
BAUER1;Bauer;Substantiv, Maskulinum
BAUEREFRA1;Bauerefra;Substantiv, Femininum
BECHS1;Béchs;Substantiv, Femininum
BEDECKT1;bedeckt;Adjektiv
BEI2;bei;Prepositioun
BEIM1;beim;
BEIS1;béis;Adjektiv
BEISPILL1;Beispill;Substantiv, Neutrum
BELLEG1;bëlleg;Adjektiv
BENSINN1;Bensinn;Substantiv, Maskulinum
BERUFF1;Beruff;Substantiv, Maskulinum
BESSEN1;bëssen;Indefinitpronomen
BESSERUNG1;Besserung;Substantiv, Femininum
BESTELLEN1;bestellen;Verb
BESTEMMT2;bestëmmt;Adverb
BESTOEN1;bestoen;Verb
BESTUET1;bestuet;Adjektiv
BETT1;Bett;Substantiv, Neutrum
BEZUELEN1;bezuelen;Verb
BIER3;Bier;Substantiv, Femininum
BIS1;bis;Prepositioun
BIS2;bis;Konjunktioun
BLAISTEFT1;Bläistëft;Substantiv, Maskulinum
BLEIWEN1;bleiwen;Verb
BLO1;blo;Adjektiv
BLOND1;blond;Adjektiv
BLUMMEBUTTEK1;Blummebuttek;Substantiv, Maskulinum
BOER1;boer;Adjektiv
BOMA1;Boma;Substantiv, Femininum
BOMI1;Bomi;Substantiv, Femininum
BONJOUR2;bonjour;Interjektioun
BOPA1;Bopa;Substantiv, Maskulinum
BOPI1;Bopi;Substantiv, Maskulinum
BOTTER1;Botter;Substantiv, Maskulinum
BOTZFRA1;Botzfra;Substantiv, Femininum
BOTZMANN1;Botzmann;Substantiv, Maskulinum
BOUF1;Bouf;Substantiv, Maskulinum
BOUN1;Boun;Substantiv, Femininum
BRASSERIE1;Brasserie;Substantiv, Femininum
BRAUCHEN1;brauchen;Verb
BRAUCHEN2;brauchen;Modalverb
BRAUTPUER1;Brautpuer;Substantiv, Neutrum
BRAV1;brav;Adjektiv
BREIFDREIER1;Bréifdréier;Substantiv, Maskulinum
BREIFDREIESCH1;Bréifdréiesch;Substantiv, Femininum
BREITCHEN1;Bréitchen;Substantiv, Neutrum
BRELL1;Brëll;Substantiv, Maskulinum
BRENGEN1;bréngen;Verb
BRODEN1;broden;Verb
BRONG1;brong;Adjektiv
BROUT1;Brout;Substantiv, Neutrum
BRUDDER1;Brudder;Substantiv, Maskulinum
BUCH1;Buch;Substantiv, Neutrum
BURO1;Büro;Substantiv, Maskulinum
BUS1;Bus;Substantiv, Maskulinum
